SenShelby,
lisamurkowski,
SenatorSessions,
SenJohnMcCain,
JeffFlake,
RepTomCotton,
JohnBoozman,
SenFeinstein,
SenatorBoxer,
SenBennetCO,
repcorygardner,
ChrisMurphyCT,
SenBlumenthal,
SenatorCarper,
ChrisCoons,
SenBillNelson,
marcorubio,
SaxbyChambliss,
SenatorIsakson,
brianschatz,
maziehirono,
MikeCrapo,
SenatorRisch,
SenatorDurbin,
SenatorKirk,
SenDonnelly ,
SenDanCoats,
ChuckGrassley,
joniernst,
SenPatRoberts,
JerryMoran,
SenateMajLdr,
BillCassidy,
DavidVitter,
SenAngusKing,
SenatorCollins,
SenatorBarb,
SenatorCardin,
senmarkey,
SenWarren,
RepGaryPeters,
SenStabenow,
amyklobuchar,
SenThadCochran,
SenatorWicker,
clairecmc,
RoyBlunt,
SteveDaines,
SenatorTester,
SenatorFischer,
SenatorReid,
SenDeanHeller,
SenatorShaheen,
KellyAyotte,
CoryBooker,
SenatorMenendez,
MartinHeinrich,
SenatorTomUdall,
SenSchumer,
SenGillibrand,
SenatorBurr,
ThomTillis,
SenatorHeitkamp,
SenJohnHoeven,
SenSherrodBrown,
robportman,
jiminhofe,
SenatorLankford,
RonWyden,
SenJeffMerkley,
SenBobCasey,
SenToomey,
SenJackReed,
SenWhitehouse,
GrahamBlog,
SenatorTimScott,
SenJohnThune,
SenAlexander,
SenBobCorker,
SenTedCruz,
JohnCornyn,
SenOrrinHatch,
SenMikeLee,
SenatorLeahy,
SenatorSanders,
timkaine,
MarkWarner,
PattyMurray,
SenatorCantwell,
SenCapito,
Sen_JoeManchin,
SenatorBaldwin,
SenRonJohnson,
SenatorEnzi,
SenJohnBarrasso,
SpeakerBoehner,
NancyPelosi,
PRyan,
repjohnlewis,
PatrickMcHenry,
RepTomReed,
TimBishopNY,
SecretaryCastro,
SecretaryFoxx,
EnergySecMoniz,
AmbPower44,
POTUS44,
VP44,
JohnKerry,
SecJackLew,
AGLynch,
SecretaryJewell,
SecPritzker,
TomPerez,
SecBurwell,
JohnKingatED,
USTreasury,
CommerceGov,
TheJusticeDept,
Interior,
USDA,
USDOL,
DeptofDefense,
ENERGY,
usedgov,
HUDgov,
DHSgov,
USDOT,
HHSGov,
DeptVetAffairs,
nprpolitics,
BBCAMERICA,
nytimes,
WSJPolitics,
foxnewspolitics,
ABCPolitics,
