SenatorStrange,
RepTedBudd,
RepEspaillat,
RepBRochester,
RepBarragan,
RepLizCheney,
RepTomSuozzi,
SenJohnKennedy,
RepBrianFitz,
RepRoKhanna,
RepArrington,
RepKihuen,
RepMcEachin,
RepCarbajal,
RepRooney,
RepJasonLewis,
RepCharlieCrist,
RepGallagher,
RepJohnFaso,
RepJoshG,
CongressmanRaja,
RepBrianMast,
RepTrey,
RepPaulMitchell,
SenCortezMasto,
RepRaskin,
RepDrewFerguson,
RepValDemings,
RepTenney,
RepJimmyPanetta,
RepStephMurphy,
RepMarshall,
RepMikeCapuano,
RepLaHood,
RepTrentKelly,
DonaldNorcross,
RepTedLieu,
dandonovan_ny,
RepAmata,
RepPeteAguilar,
RepGrothman,
RepMiaLove,
SteveKnight25,
RepBuddyCarter,
RepKathleenRice,
RepDebDingell,
RepBonnie,
RepDeSaulnier,
RepAlexMooney,
HurdOnTheHill,
RepTomMacArthur,
SenSasse,
RepAbraham,
RepDonBeyer,
RepStefanik,
SenatorRounds,
RepFrenchHill,
RepRyanCostello,
RepEvanJenkins,
RepRyanZinke,
RepGarretGraves,
RepPoliquin,
RepNewhouse,
RepAdams,
RepMikeBishop,
RepTomEmmer,
RepLoudermilk,
SenDanSullivan,
repdavetrott,
UnofficialSK,
sendavidperdue,
RepLawrence,
RepKenBuck,
USRepGaryPalmer,
SenJoniErnst,
RepCurbelo,
RepRatcliffe,
RepMoolenaar,
RepDaveBrat,
RepHastingsFL,
RepRobWoodall,
RepKClark,
RepGuthrie,
RepJohnDuncanJr,
USRepKCastor,
RepJasonSmith,
RepBeatty,
RepSanfordSC,
USRepLong,
PeterWelch,
USRepRodney,
RepRobinKelly,
Rep_Hunter,
RepChrisSmith,
RepTimWalz,
RepJuanVargas,
SenateMajLdr,
JuliaBrownley26,
RepCardenas,
SteveScalise,
RepDonaldPayne,
KeithRothfus,
RepDWStweets,
RepScottPeters,
RepBetoORourke,
RepDavidValadao,
MartinHeinrich,
SenatorRisch,
RepJBridenstine,
CongressmanRuiz,
RepAndyBarr,
RepFilemonVela,
RepSinema,
RepBillFoster,
RepRWilliams,
RepLoisFrankel,
SenatorBaldwin,
SenTedCruz,
RepPaulCook,
RepVeasey,
SusanWBrooks,
RepSeanMaloney,
RepChrisStewart,
RepTedYoho,
RepSchneider,
SenatorFischer,
RepLaMalfa,
RepDennyHeck,
SenAngusKing,
RepWalorski,
RepLujanGrisham,
SenatorHeitkamp,
RepEsty,
RepMullin,
RepDerekKilmer,
RepDeSantis,
RepAnnieKuster,
SenDuckworth,
RepHolding,
RepTomRice,
TXRandy14,
RepJoeKennedy,
RepLowenthal,
USRepRickNolan,
RepGraceMeng,
RepKevinCramer,
RepLukeMesser,
RepMarkTakano,
RepLipinski,
RepDelBene,
RodneyDavis,
RepDaveJoyce,
RepThomasMassie,
SenWarren,
SenTomCotton,
RepMarkMeadows,
RepAndyHarrisMD,
RepBera,
reppittenger,
RepSwalwell,
RepJohnDelaney,
RepRichHudson,
PatTiberi,
JimPressOffice,
RepDavidRouzer,
RepRohrabacher,
RepDannyDavis,
RepCummings,
RepCartwright,
RoKhannaUSA,
RepLanceNJ7,
LacyClayMO1,
RepDLamborn,
RepMarcyKaptur,
RepBonamici,
SenThadCochran,
RepHalRogers,
RepBradWenstrup,
BettyMcCollum04,
SenatorTester,
daveloebsack,
SenJackReed,
SenFeinstein,
RepJeffries,
RepJaredPolis,
RepRichardNeal,
SenCoonsOffice,
GKButterfield,
RepRickLarsen,
MarkAmodeiNV2,
RepMcNerney,
RepJohnYarmuth,
SenJohnHoeven,
MacTXPress,
RepSarbanes,
JaredHuffman,
IndianCommittee,
VP44,
RepDavidYoung,
RepLindaSanchez,
RepStephenLynch,
Call_Me_Dutch,
RepBobbyRush,
RepThompson,
CongPalazzo,
SenJohnThune,
RepAdrianSmith,
ConawayTX11,
SenatorEnzi,
HouseVetAffairs,
RepWebster,
MarshaBlackburn,
SenBlumenthal,
SASCMajority,
RepZoeLofgren,
RepRichmond,
SenDeanHeller,
senorrinhatch,
RepMaloney,
RepJoeWilson,
RepKevinYoder,
RepTomReed,
RepPeterDeFazio,
RonWyden,
SanfordBishop,
RepAnnaEshoo,
SamsPressShop,
RepMeehan,
RepBarbaraLee,
RepJeffDenham,
sethmoulton,
SenatorDurbin,
RepEdRoyce,
Raul_Labrador,
RepJimCosta,
HerreraBeutler,
nikiinthehouse,
RepTipton,
SenatorLeahy,
CongressmanDan,
RepCharlieDent,
RepLoBiondo,
RepGosar,
RepMcKinley,
RepJeffDuncan,
HouseHomeland,
RepKarenBass,
RepLouBarletta,
RepWalberg,
RepHultgren,
RepHartzler,
RepSteveChabot,
TGowdySC,
RepBillFlores,
RepMoBrooks,
RepJimRenacci,
SenGaryPeters,
NormaJTorres,
DesJarlaisTN04,
RepStevePearce,
RepKristiNoem,
SenCoryGardner,
RepChuck,
RepBobGibbs,
AustinScottGA08,
HouseAgNews,
rep_stevewomack,
Sen_JoeManchin,
RepMGriffith,
RepSeanDuffy,
RepWilson,
RepHuizenga,
justinamash,
SenRonJohnson,
SenateAgDems,
USRepKeating,
JoaquinCastrotx,
RepBrendanBoyle,
RepDavid,
SenatorLankford,
HouseAdmnGOP,
RepMarthaRoby,
SenBennetCO,
SenToomey,
RepKinzinger,
RandPaul,
SenDonnelly,
RepBillJohnson,
RepSteveStivers,
RepCuellar,
SenJohnBarrasso,
RepAndreCarson,
RepVisclosky,
SenCapito,
RepJudyChu,
RepTomGraves,
Clyburn,
SenateBudget,
SenBobCasey,
repdavidscott,
RepEBJ,
NydiaVelazquez,
RepEliotEngel,
repcleaver,
BobbyScott,
RepKayGranger,
RepLloydDoggett,
RepMarciaFudge,
HouseBudgetDems,
ChrisMurphyCT,
RepBrady,
RepRobBishop,
RepJohnConyers,
RepTedDeutch,
RepJimMcDermott,
RepFredUpton,
repdinatitus,
RepTimMurphy,
SenatorCantwell,
JECDems,
HouseCommerce,
RepRonKind,
repjoecrowley,
RepGeneGreen,
RepDianeBlack,
SenatorShaheen,
RepDwightEvans,
RepGaramendi,
SenMikeLee,
RepJoeCourtney,
RepPaulTonko,
EnergyGOP,
BennieGThompson,
GerryConnolly,
RulesReps,
SenAlexander,
SenStabenow,
CongMikeSimpson,
HouseForeign,
SenPatRoberts,
BillPascrell,
HASCDemocrats,
JudgeTedPoe,
SenBobCorker,
HFACDemocrats,
SenatorTomUdall,
RepAdamSmith,
RepMikeQuigley,
BillCassidy,
DrPhilRoe,
RepJohnLarson,
RepMcClintock,
SteveKingIA,
brianschatz,
SenSherrodBrown,
RepSmucker,
RepJerryNadler,
Robin42CD,
DorisMatsui,
RepGoodlatte,
MarioDB,
repdonyoung,
RepGutierrez,
MaxineWaters,
Transport,
RepMikeRogersAL,
RepDennisRoss,
RepBrianHiggins,
amyklobuchar,
FrankPallone,
jahimes,
WaysMeansCmte,
OversightDems,
EnergyCommerce,
AppropsDems,
KamalaHarris,
BradSherman,
RepAdamSchiff,
repjohnlewis,
SenSanders,
SenJeffMerkley,
RepRaulGrijalva,
PatrickMcHenry,
RepWalterJones,
RepMcCaul,
RepGusBilirakis,
repsandylevin,
congbillposey,
RepHankJohnson,
PeteSessions,
janschakowsky,
CongCulberson,
RepKenMarchant,
GreggHarper,
EleanorNorton,
davidcicilline,
TomColeOK04,
GregoryMeeks,
KenCalvert,
RepBillShuster,
repjimcooper,
DarrellIssa,
SciCmteDems,
SenMarkey,
RoyBlunt,
SenatorBurr,
SenShelby,
RepPerlmutter,
InhofePress,
RepSchrader,
VernBuchanan,
HASCRepublicans,
stabenow,
RepPeteOlson,
PeterRoskam,
RepJoeBarton,
RepKevinBrady,
GOPLeader,
SenatorCollins,
RepLynnJenkins,
RepMikeCoffman,
SenJohnMcCain,
DanaRohrabacher,
CongressmanGT,
SpeakerRyan,
senrobportman,
JimLangevin,
JeffFortenberry,
RepScottPerry,
RepSires,
SenatorMenendez,
RepHensarling,
Jim_Jordan,
ChrisVanHollen,
lisamurkowski,
JudgeCarter,
cathymcmorris,
dinatitus,
farenthold,
jasoninthehouse,
RepErikPaulsen,
SenSchumer,
EdWorkforce,
virginiafoxx,
clairecmc,
JeffFlake,
repblumenauer,
LamarSmithTX21,
CoryBooker,
NancyPelosi,
michaelcburgess,
marcorubio,
RepShimkus,
boblatta,
jaredpolis,
RobWittman,
ChrisCoons,
johnculberson,
GrahamBlog,
SenateGOP,
RosLehtinen,
RepTimRyan,
JohnCornyn,
WaysandMeansGOP,
SteveDaines,
ChuckGrassley,
MarkWarner,
realDonaldTrump,
VP,
RexTilllerson,
stevenmnuchin1,
USAGSessions,
SecretaryCarson,
SecretaryRoss,
SecPriceMD,
SecretaryPerry,
BetsyDeVos,
StateDept,
USTreasury,
CommerceGov,
TheJusticeDept,
Interior,
USDA,
USDOL,
DeptofDefense,
ENERGY,
usedgov,
HUDgov,
DHSgov,
USDOT,
HHSGov,
DeptVetAffairs,
nprpolitics,
BBCAMERICA,
nytimes,
WSJPolitics,
foxnewspolitics,
ABCPolitics,
